Entity,Year,share
Others,2023,0.5706924064127549
Ryanair Group,2023,0.149226245849432
Turkish Airlines,2023,0.08444343344492052
easyJet Group,2023,0.07400674955353809
Lufthansa Airlines,2023,0.06334598591692753
Air France Group,2023,0.05828517882242699
Others,2022,0.5629640165867398
Ryanair Group,2022,0.15468912560303077
easyJet Group,2022,0.08115631697433831
Turkish Airlines,2022,0.07650794499867757
Lufthansa Airlines,2022,0.06563292666157144
Air France Group,2022,0.059049669175642056
Others,2021,0.5751366247247429
Ryanair Group,2021,0.13583096996158023
Turkish Airlines,2021,0.09649685611680058
Air France Group,2021,0.06664384304675601
Lufthansa Airlines,2021,0.06349587413759825
easyJet Group,2021,0.062395832012521996
Others,2020,0.5977213196442012
Ryanair Group,2020,0.12090147841793367
Turkish Airlines,2020,0.07966311836169637
easyJet Group,2020,0.06952935673912695
Lufthansa Airlines,2020,0.06743366300577593
Air France Group,2020,0.0647510638312659
